Address,lat,long
"725 Elmhurst Dr Unit 304, Littleton, CO 80129",39.5448031,39.5448031
"2627 Bitterroot Pl, Highlands Ranch, CO 80129",39.5503794,39.5503794
"2065 Primo Rd Unit E, Highlands Ranch, CO 80129",39.5630297,39.5630297
"9932 Deer Creek St, Highlands Ranch, CO 80129",39.5363968,39.5363968
"9828 Spring Hill Dr, Highlands Ranch, CO 80129",39.537397,39.537397
"2134 Primo Rd Unit 205, Littleton, CO 80129",38.1161623,38.1161623
"8839 Edinburgh Cir, Highlands Ranch, CO 80129",39.555575,39.555575
"9458 Wolfe St, Highlands Ranch, CO 80129",39.544081,39.544081
"8887 Tappy Toorie Cir, Highlands Ranch, CO 80129",39.5544129,39.5544129
"2476 Channel Dr, Highlands Ranch, CO 80129",39.5657324,39.5657324
"762 Shadowstone Dr, Highlands Ranch, CO 80129",39.5270529,39.5270529
"2366 Primo Rd Unit 206, Littleton, CO 80129",39.5644937,39.5644937
"9622 Mountain Daisy Way, Highlands Ranch, CO 80129",39.5412711,39.5412711
"2646 Channel Dr, Highlands Ranch, CO 80129",39.5654899,39.5654899
"2625 Channel Dr, Highlands Ranch, CO 80129",39.5655981,39.5655981
"725 Elmhurst Dr Unit 310, Littleton, CO 80129",39.5448031,39.5448031
"8315 Riverscape Ct, Highlands Ranch, CO 80129",39.5655639,39.5655639
"2539 Greensborough Dr, Highlands Ranch, CO 80129",39.5566955,39.5566955
"950 Elmhurst Dr Unit D, Highlands Ranch, CO 80129",39.5438825,39.5438825
"1241 Savannah Sparrow Dr, Highlands Ranch, CO 80129",39.5338693,39.5338693
"2134 Primo Rd Unit 207, Littleton, CO 80129",38.1161623,38.1161623
"768 Brookhurst Ave Unit B, Littleton, CO 80129",39.5429819,39.5429819
"4123 Forever Cir, Castle Rock, CO 80109",39.403069,39.403069
